ID,TEXT,TEXT_CLEANED,TOKENS,TOKENS_NO_STOP,TOKENS_LEMMATIZED,TEXT_PROCESSED,SENTIMENT
81,Key Muhyiddin allies Azmin Ali and Mohd Radzi Md Jidin were removed from their coalition positions.,key muhyiddin allies azmin ali and mohd radzi md jidin were removed from their coalition positions,"['key', 'muhyiddin', 'allies', 'azmin', 'ali', 'and', 'mohd', 'radzi', 'md', 'jidin', 'were', 'removed', 'from', 'their', 'coalition', 'positions']","['key', 'muhyiddin', 'allies', 'azmin', 'ali', 'mohd', 'radzi', 'md', 'jidin', 'removed', 'coalition', 'positions']","['key', 'muhyiddin', 'ally', 'azmin', 'ali', 'mohd', 'radzi', 'md', 'jidin', 'remove', 'coalition', 'position']",key muhyiddin ally azmin ali mohd radzi md jidin remove coalition position,NEGATIVE
82,Azmin Ali was dismissed as deputy secretary-general of the coalition.,azmin ali was dismissed as deputy secretary general of the coalition,"['azmin', 'ali', 'was', 'dismissed', 'as', 'deputy', 'secretary', 'general', 'of', 'the', 'coalition']","['azmin', 'ali', 'dismissed', 'deputy', 'secretary', 'general', 'coalition']","['azmin', 'ali', 'dismiss', 'deputy', 'secretary', 'general', 'coalition']",azmin ali dismiss deputy secretary general coalition,NEGATIVE
83,Mohd Radzi Md Jidin was replaced as national election director.,mohd radzi md jidin was replaced as national election director,"['mohd', 'radzi', 'md', 'jidin', 'was', 'replaced', 'as', 'national', 'election', 'director']","['mohd', 'radzi', 'md', 'jidin', 'replaced', 'national', 'election', 'director']","['mohd', 'radzi', 'md', 'jidin', 'replace', 'national', 'election', 'director']",mohd radzi md jidin replace national election director,NEGATIVE
84,A digital campaign supporting Muhyiddin circulated rapidly on social media platforms.,a digital campaign supporting muhyiddin circulated rapidly on social media platforms,"['a', 'digital', 'campaign', 'supporting', 'muhyiddin', 'circulated', 'rapidly', 'on', 'social', 'media', 'platforms']","['digital', 'campaign', 'supporting', 'muhyiddin', 'circulated', 'rapidly', 'social', 'media', 'platforms']","['digital', 'campaign', 'support', 'muhyiddin', 'circulate', 'rapidly', 'social', 'medium', 'platform']",digital campaign support muhyiddin circulate rapidly social medium platform,NEUTRAL
85,Bersatu's youth wing instructed supporters to gather at the party headquarters.,bersatus youth wing instructed supporters to gather at the party headquarters,"['bersatus', 'youth', 'wing', 'instructed', 'supporters', 'to', 'gather', 'at', 'the', 'party', 'headquarters']","['bersatus', 'youth', 'wing', 'instructed', 'supporters', 'gather', 'party', 'headquarters']","['bersatus', 'youth', 'wing', 'instructed', 'supporter', 'gather', 'party', 'headquarters']",bersatus youth wing instructed supporter gather party headquarters,NEUTRAL
86,Deep ideological and tactical divisions have emerged between coalition partners.,deep ideological and tactical divisions have emerged between coalition partners,"['deep', 'ideological', 'and', 'tactical', 'divisions', 'have', 'emerged', 'between', 'coalition', 'partners']","['deep', 'ideological', 'tactical', 'divisions', 'emerged', 'coalition', 'partners']","['deep', 'ideological', 'tactical', 'division', 'emerge', 'coalition', 'partner']",deep ideological tactical division emerge coalition partner,NEGATIVE
87,Bersatu leaders are resisting what they perceive as a takeover of coalition machinery.,bersatu leaders are resisting what they perceive as a takeover of coalition machinery,"['bersatu', 'leaders', 'are', 'resisting', 'what', 'they', 'perceive', 'as', 'a', 'takeover', 'of', 'coalition', 'machinery']","['bersatu', 'leaders', 'resisting', 'perceive', 'takeover', 'coalition', 'machinery']","['bersatu', 'leader', 'resist', 'perceive', 'takeover', 'coalition', 'machinery']",bersatu leader resist perceive takeover coalition machinery,NEGATIVE
88,The meeting is expected to formulate a counter-strategy against the leadership changes.,the meeting is expected to formulate a counter strategy against the leadership changes,"['the', 'meeting', 'is', 'expected', 'to', 'formulate', 'a', 'counter', 'strategy', 'against', 'the', 'leadership', 'changes']","['meeting', 'expected', 'formulate', 'counter', 'strategy', 'against', 'leadership', 'changes']","['meeting', 'expect', 'formulate', 'counter', 'strategy', 'against', 'leadership', 'change']",meeting expect formulate counter strategy against leadership change,NEGATIVE
89,The coalition leadership said the reshuffle was intended to improve organizational efficiency.,the coalition leadership said the reshuffle was intended to improve organizational efficiency,"['the', 'coalition', 'leadership', 'said', 'the', 'reshuffle', 'was', 'intended', 'to', 'improve', 'organizational', 'efficiency']","['coalition', 'leadership', 'said', 'reshuffle', 'intended', 'improve', 'organizational', 'efficiency']","['coalition', 'leadership', 'say', 'reshuffle', 'intend', 'improve', 'organizational', 'efficiency']",coalition leadership say reshuffle intend improve organizational efficiency,POSITIVE
90,The situation points to a potential crisis for the future of the opposition coalition.,the situation points to a potential crisis for the future of the opposition coalition,"['the', 'situation', 'points', 'to', 'a', 'potential', 'crisis', 'for', 'the', 'future', 'of', 'the', 'opposition', 'coalition']","['situation', 'points', 'potential', 'crisis', 'future', 'opposition', 'coalition']","['situation', 'point', 'potential', 'crisis', 'future', 'opposition', 'coalition']",situation point potential crisis future opposition coalition,NEGATIVE
91,PKR is considering legal action against Rafizi Ramli and Nik Nazmi Nik Ahmad after they left the party.,pkr is considering legal action against rafizi ramli and nik nazmi nik ahmad after they left the party,"['pkr', 'is', 'considering', 'legal', 'action', 'against', 'rafizi', 'ramli', 'and', 'nik', 'nazmi', 'nik', 'ahmad', 'after', 'they', 'left', 'the', 'party']","['pkr', 'considering', 'legal', 'action', 'against', 'rafizi', 'ramli', 'nik', 'nazmi', 'nik', 'ahmad', 'left', 'party']","['pkr', 'consider', 'legal', 'action', 'against', 'rafizi', 'ramli', 'nik', 'nazmi', 'nik', 'ahmad', 'leave', 'party']",pkr consider legal action against rafizi ramli nik nazmi nik ahmad leave party,NEGATIVE
92,The party referred the matter to its legal advisers for further review.,the party referred the matter to its legal advisers for further review,"['the', 'party', 'referred', 'the', 'matter', 'to', 'its', 'legal', 'advisers', 'for', 'further', 'review']","['party', 'referred', 'matter', 'legal', 'advisers', 'review']","['party', 'refer', 'matter', 'legal', 'adviser', 'review']",party refer matter legal adviser review,NEUTRAL
93,The resignations triggered scrutiny over the Anti-Party Hopping Act and a RM10 million bond.,the resignations triggered scrutiny over the anti party hopping act and a rm10 million bond,"['the', 'resignations', 'triggered', 'scrutiny', 'over', 'the', 'anti', 'party', 'hopping', 'act', 'and', 'a', 'rm10', 'million', 'bond']","['resignations', 'triggered', 'scrutiny', 'anti', 'party', 'hopping', 'act', 'rm10', 'million', 'bond']","['resignation', 'trigger', 'scrutiny', 'anti', 'party', 'hop', 'act', 'rm10', 'million', 'bond']",resignation trigger scrutiny anti party hop act rm10 million bond,NEGATIVE
94,PKR's legal team will determine whether action should be taken against the former leaders.,pkrs legal team will determine whether action should be taken against the former leaders,"['pkrs', 'legal', 'team', 'will', 'determine', 'whether', 'action', 'should', 'be', 'taken', 'against', 'the', 'former', 'leaders']","['pkrs', 'legal', 'team', 'determine', 'whether', 'action', 'taken', 'against', 'former', 'leaders']","['pkrs', 'legal', 'team', 'determine', 'whether', 'action', 'take', 'against', 'former', 'leader']",pkrs legal team determine whether action take against former leader,NEUTRAL
95,Rafizi and Nik Nazmi resigned from their positions and left the party.,rafizi and nik nazmi resigned from their positions and left the party,"['rafizi', 'and', 'nik', 'nazmi', 'resigned', 'from', 'their', 'positions', 'and', 'left', 'the', 'party']","['rafizi', 'nik', 'nazmi', 'resigned', 'positions', 'left', 'party']","['rafizi', 'nik', 'nazmi', 'resign', 'position', 'leave', 'party']",rafizi nik nazmi resign position leave party,NEGATIVE
96,The legal review followed Rafizi's resignation as MP for Pandan and Nik Nazmi's resignation as MP for Setiawangsa.,the legal review followed rafizis resignation as mp for pandan and nik nazmis resignation as mp for setiawangsa,"['the', 'legal', 'review', 'followed', 'rafizis', 'resignation', 'as', 'mp', 'for', 'pandan', 'and', 'nik', 'nazmis', 'resignation', 'as', 'mp', 'for', 'setiawangsa']","['legal', 'review', 'followed', 'rafizis', 'resignation', 'mp', 'pandan', 'nik', 'nazmis', 'resignation', 'mp', 'setiawangsa']","['legal', 'review', 'follow', 'rafizis', 'resignation', 'mp', 'pandan', 'nik', 'nazmis', 'resignation', 'mp', 'setiawangsa']",legal review follow rafizis resignation mp pandan nik nazmis resignation mp setiawangsa,NEGATIVE
97,PKR is examining whether legal action can be pursued under the Anti-Party Hopping Act.,pkr is examining whether legal action can be pursued under the anti party hopping act,"['pkr', 'is', 'examining', 'whether', 'legal', 'action', 'can', 'be', 'pursued', 'under', 'the', 'anti', 'party', 'hopping', 'act']","['pkr', 'examining', 'whether', 'legal', 'action', 'pursued', 'anti', 'party', 'hopping', 'act']","['pkr', 'examine', 'whether', 'legal', 'action', 'pursue', 'anti', 'party', 'hopping', 'act']",pkr examine whether legal action pursue anti party hopping act,NEGATIVE
98,The party is considering enforcement of the RM10 million bond.,the party is considering enforcement of the rm10 million bond,"['the', 'party', 'is', 'considering', 'enforcement', 'of', 'the', 'rm10', 'million', 'bond']","['party', 'considering', 'enforcement', 'rm10', 'million', 'bond']","['party', 'consider', 'enforcement', 'rm10', 'million', 'bond']",party consider enforcement rm10 million bond,NEGATIVE
99,Rafizi and Nik Nazmi registered as ordinary members of Parti Bersama Malaysia.,rafizi and nik nazmi registered as ordinary members of parti bersama malaysia,"['rafizi', 'and', 'nik', 'nazmi', 'registered', 'as', 'ordinary', 'members', 'of', 'parti', 'bersama', 'malaysia']","['rafizi', 'nik', 'nazmi', 'registered', 'ordinary', 'members', 'parti', 'bersama', 'malaysia']","['rafizi', 'nik', 'nazmi', 'register', 'ordinary', 'member', 'parti', 'bersama', 'malaysia']",rafizi nik nazmi register ordinary member parti bersama malaysia,NEUTRAL
100,PKR maintains that their resignation took effect on 17 May.,pkr maintains that their resignation took effect on 17 may,"['pkr', 'maintains', 'that', 'their', 'resignation', 'took', 'effect', 'on', '17', 'may']","['pkr', 'maintains', 'resignation', 'took', 'effect', '17', 'may']","['pkr', 'maintain', 'resignation', 'take', 'effect', '17', 'may']",pkr maintain resignation take effect 17 may,NEUTRAL
101,The resignation date is expected to be an important factor in the legal assessment.,the resignation date is expected to be an important factor in the legal assessment,"['the', 'resignation', 'date', 'is', 'expected', 'to', 'be', 'an', 'important', 'factor', 'in', 'the', 'legal', 'assessment']","['resignation', 'date', 'expected', 'important', 'factor', 'legal', 'assessment']","['resignation', 'date', 'expect', 'important', 'factor', 'legal', 'assessment']",resignation date expect important factor legal assessment,NEUTRAL
102,Lawyers are assessing whether there are grounds for legal claims arising from the resignations.,lawyers are assessing whether there are grounds for legal claims arising from the resignations,"['lawyers', 'are', 'assessing', 'whether', 'there', 'are', 'grounds', 'for', 'legal', 'claims', 'arising', 'from', 'the', 'resignations']","['lawyers', 'assessing', 'whether', 'grounds', 'legal', 'claims', 'arising', 'resignations']","['lawyer', 'assess', 'whether', 'ground', 'legal', 'claim', 'arise', 'resignation']",lawyer assess whether ground legal claim arise resignation,NEGATIVE
103,The MACC applied to prevent Na'imah Abdul Khalid from managing offshore assets worth more than RM5.5 billion.,the macc applied to prevent naimah abdul khalid from managing offshore assets worth more than rm55 billion,"['the', 'macc', 'applied', 'to', 'prevent', 'naimah', 'abdul', 'khalid', 'from', 'managing', 'offshore', 'assets', 'worth', 'more', 'than', 'rm55', 'billion']","['macc', 'applied', 'prevent', 'naimah', 'abdul', 'khalid', 'managing', 'offshore', 'assets', 'worth', 'rm55', 'billion']","['macc', 'apply', 'prevent', 'naimah', 'abdul', 'khalid', 'manage', 'offshore', 'asset', 'worth', 'rm55', 'billion']",macc apply prevent naimah abdul khalid manage offshore asset worth rm55 billion,NEGATIVE
104,The assets are allegedly linked to the widow of the late Tun Daim Zainuddin.,the assets are allegedly linked to the widow of the late tun daim zainuddin,"['the', 'assets', 'are', 'allegedly', 'linked', 'to', 'the', 'widow', 'of', 'the', 'late', 'tun', 'daim', 'zainuddin']","['assets', 'allegedly', 'linked', 'widow', 'late', 'tun', 'daim', 'zainuddin']","['asset', 'allegedly', 'link', 'widow', 'late', 'tun', 'daim', 'zainuddin']",asset allegedly link widow late tun daim zainuddin,NEGATIVE
105,The High Court set August 13 to hear the MACC application.,the high court set august 13 to hear the macc application,"['the', 'high', 'court', 'set', 'august', '13', 'to', 'hear', 'the', 'macc', 'application']","['high', 'court', 'set', 'august', '13', 'hear', 'macc', 'application']","['high', 'court', 'set', 'august', '13', 'hear', 'macc', 'application']",high court set august 13 hear macc application,NEUTRAL
106,The application involves assets totalling US$157.5 million and GBP85 million.,the application involves assets totalling us1575 million and gbp85 million,"['the', 'application', 'involves', 'assets', 'totalling', 'us1575', 'million', 'and', 'gbp85', 'million']","['application', 'involves', 'assets', 'totalling', 'us1575', 'million', 'gbp85', 'million']","['application', 'involve', 'asset', 'total', 'us1575', 'million', 'gbp85', 'million']",application involve asset total us1575 million gbp85 million,NEUTRAL
107,Na'imah did not attend the proceedings after receiving a court exemption.,naimah did not attend the proceedings after receiving a court exemption,"['naimah', 'did', 'not', 'attend', 'the', 'proceedings', 'after', 'receiving', 'a', 'court', 'exemption']","['naimah', 'not', 'attend', 'proceedings', 'receiving', 'court', 'exemption']","['naimah', 'not', 'attend', 'proceeding', 'receive', 'court', 'exemption']",naimah not attend proceeding receive court exemption,NEUTRAL
108,The MACC alleged that the assets were not declared to the Inland Revenue Board.,the macc alleged that the assets were not declared to the inland revenue board,"['the', 'macc', 'alleged', 'that', 'the', 'assets', 'were', 'not', 'declared', 'to', 'the', 'inland', 'revenue', 'board']","['macc', 'alleged', 'assets', 'not', 'declared', 'inland', 'revenue', 'board']","['macc', 'allege', 'asset', 'not', 'declare', 'inland', 'revenue', 'board']",macc allege asset not declare inland revenue board,NEGATIVE
109,"The application was filed under the Anti-Money Laundering, Anti-Terrorism Financing and Proceeds of Unlawful Activities Act.",the application was filed under the anti money laundering anti terrorism financing and proceeds of unlawful activities act,"['the', 'application', 'was', 'filed', 'under', 'the', 'anti', 'money', 'laundering', 'anti', 'terrorism', 'financing', 'and', 'proceeds', 'of', 'unlawful', 'activities', 'act']","['application', 'filed', 'anti', 'money', 'laundering', 'anti', 'terrorism', 'financing', 'proceeds', 'unlawful', 'activities', 'act']","['application', 'file', 'anti', 'money', 'launder', 'anti', 'terrorism', 'finance', 'proceeds', 'unlawful', 'activity', 'act']",application file anti money launder anti terrorism finance proceeds unlawful activity act,NEGATIVE
110,This is the third prosecution application involving overseas assets.,this is the third prosecution application involving overseas assets,"['this', 'is', 'the', 'third', 'prosecution', 'application', 'involving', 'overseas', 'assets']","['third', 'prosecution', 'application', 'involving', 'overseas', 'assets']","['third', 'prosecution', 'application', 'involve', 'overseas', 'asset']",third prosecution application involve overseas asset,NEUTRAL
111,Similar legal action was previously taken involving assets in the United Kingdom and Singapore.,similar legal action was previously taken involving assets in the united kingdom and singapore,"['similar', 'legal', 'action', 'was', 'previously', 'taken', 'involving', 'assets', 'in', 'the', 'united', 'kingdom', 'and', 'singapore']","['similar', 'legal', 'action', 'previously', 'taken', 'involving', 'assets', 'united', 'kingdom', 'singapore']","['similar', 'legal', 'action', 'previously', 'take', 'involve', 'asset', 'united', 'kingdom', 'singapore']",similar legal action previously take involve asset united kingdom singapore,NEGATIVE
112,The MACC previously sought to prevent management of investment funds located in Singapore.,the macc previously sought to prevent management of investment funds located in singapore,"['the', 'macc', 'previously', 'sought', 'to', 'prevent', 'management', 'of', 'investment', 'funds', 'located', 'in', 'singapore']","['macc', 'previously', 'sought', 'prevent', 'management', 'investment', 'funds', 'located', 'singapore']","['macc', 'previously', 'seek', 'prevent', 'management', 'investment', 'fund', 'locate', 'singapore']",macc previously seek prevent management investment fund locate singapore,NEGATIVE
113,The High Court dismissed that application on May 22.,the high court dismissed that application on may 22,"['the', 'high', 'court', 'dismissed', 'that', 'application', 'on', 'may', '22']","['high', 'court', 'dismissed', 'application', 'may', '22']","['high', 'court', 'dismiss', 'application', 'may', '22']",high court dismiss application may 22,NEUTRAL
114,The court will decide on Na'imah's application to overturn the freezing of several London properties.,the court will decide on naimahs application to overturn the freezing of several london properties,"['the', 'court', 'will', 'decide', 'on', 'naimahs', 'application', 'to', 'overturn', 'the', 'freezing', 'of', 'several', 'london', 'properties']","['court', 'decide', 'naimahs', 'application', 'overturn', 'freezing', 'several', 'london', 'properties']","['court', 'decide', 'naimahs', 'application', 'overturn', 'freeze', 'several', 'london', 'property']",court decide naimahs application overturn freeze several london property,NEUTRAL
115,The properties are linked to The Ilham Foundation and are estimated to be worth GBP132 million.,the properties are linked to the ilham foundation and are estimated to be worth gbp132 million,"['the', 'properties', 'are', 'linked', 'to', 'the', 'ilham', 'foundation', 'and', 'are', 'estimated', 'to', 'be', 'worth', 'gbp132', 'million']","['properties', 'linked', 'ilham', 'foundation', 'estimated', 'worth', 'gbp132', 'million']","['property', 'link', 'ilham', 'foundation', 'estimate', 'worth', 'gbp132', 'million']",property link ilham foundation estimate worth gbp132 million,NEUTRAL
116,"The CEO of the Malaysia Stadium Corporation was charged with soliciting RM1 million in bribes and receiving RM450,000 in illegal gratification.",the ceo of the malaysia stadium corporation was charged with soliciting rm1 million in bribes and receiving rm450000 in illegal gratification,"['the', 'ceo', 'of', 'the', 'malaysia', 'stadium', 'corporation', 'was', 'charged', 'with', 'soliciting', 'rm1', 'million', 'in', 'bribes', 'and', 'receiving', 'rm450000', 'in', 'illegal', 'gratification']","['ceo', 'malaysia', 'stadium', 'corporation', 'charged', 'soliciting', 'rm1', 'million', 'bribes', 'receiving', 'rm450000', 'illegal', 'gratification']","['ceo', 'malaysia', 'stadium', 'corporation', 'charge', 'solicit', 'rm1', 'million', 'bribe', 'receive', 'rm450000', 'illegal', 'gratification']",ceo malaysia stadium corporation charge solicit rm1 million bribe receive rm450000 illegal gratification,NEGATIVE
117,Iliyas Jamil pleaded not guilty to all seven corruption charges.,iliyas jamil pleaded not guilty to all seven corruption charges,"['iliyas', 'jamil', 'pleaded', 'not', 'guilty', 'to', 'all', 'seven', 'corruption', 'charges']","['iliyas', 'jamil', 'pleaded', 'not', 'guilty', 'seven', 'corruption', 'charges']","['iliyas', 'jamil', 'plead', 'not', 'guilty', 'seven', 'corruption', 'charge']",iliyas jamil plead not guilty seven corruption charge,NEGATIVE
118,The charges relate to an RM8.73 million contract to upgrade the National Squash Centre.,the charges relate to an rm873 million contract to upgrade the national squash centre,"['the', 'charges', 'relate', 'to', 'an', 'rm873', 'million', 'contract', 'to', 'upgrade', 'the', 'national', 'squash', 'centre']","['charges', 'relate', 'rm873', 'million', 'contract', 'upgrade', 'national', 'squash', 'centre']","['charge', 'relate', 'rm873', 'million', 'contract', 'upgrade', 'national', 'squash', 'centre']",charge relate rm873 million contract upgrade national squash centre,NEUTRAL
119,The prosecution alleged that Iliyas solicited RM1 million to help secure a company for the contract award.,the prosecution alleged that iliyas solicited rm1 million to help secure a company for the contract award,"['the', 'prosecution', 'alleged', 'that', 'iliyas', 'solicited', 'rm1', 'million', 'to', 'help', 'secure', 'a', 'company', 'for', 'the', 'contract', 'award']","['prosecution', 'alleged', 'iliyas', 'solicited', 'rm1', 'million', 'help', 'secure', 'company', 'contract', 'award']","['prosecution', 'allege', 'iliyas', 'solicit', 'rm1', 'million', 'help', 'secure', 'company', 'contract', 'award']",prosecution allege iliyas solicit rm1 million help secure company contract award,NEGATIVE
120,The alleged solicitation took place at the Malaysia Stadium Corporation office.,the alleged solicitation took place at the malaysia stadium corporation office,"['the', 'alleged', 'solicitation', 'took', 'place', 'at', 'the', 'malaysia', 'stadium', 'corporation', 'office']","['alleged', 'solicitation', 'took', 'place', 'malaysia', 'stadium', 'corporation', 'office']","['allege', 'solicitation', 'take', 'place', 'malaysia', 'stadium', 'corporation', 'office']",allege solicitation take place malaysia stadium corporation office,NEGATIVE
121,The charge was brought under the Malaysian Anti-Corruption Commission Act 2009.,the charge was brought under the malaysian anti corruption commission act 2009,"['the', 'charge', 'was', 'brought', 'under', 'the', 'malaysian', 'anti', 'corruption', 'commission', 'act', '2009']","['charge', 'brought', 'malaysian', 'anti', 'corruption', 'commission', 'act', '2009']","['charge', 'bring', 'malaysian', 'anti', 'corruption', 'commission', 'act', '2009']",charge bring malaysian anti corruption commission act 2009,NEUTRAL
122,The offence carries a maximum prison sentence of 20 years and a substantial fine upon conviction.,the offence carries a maximum prison sentence of 20 years and a substantial fine upon conviction,"['the', 'offence', 'carries', 'a', 'maximum', 'prison', 'sentence', 'of', '20', 'years', 'and', 'a', 'substantial', 'fine', 'upon', 'conviction']","['offence', 'carries', 'maximum', 'prison', 'sentence', '20', 'years', 'substantial', 'fine', 'upon', 'conviction']","['offence', 'carry', 'maximum', 'prison', 'sentence', '20', 'year', 'substantial', 'fine', 'upon', 'conviction']",offence carry maximum prison sentence 20 year substantial fine upon conviction,NEGATIVE
123,"Iliyas was accused of receiving a total of RM450,000 in bribes related to the same contract.",iliyas was accused of receiving a total of rm450000 in bribes related to the same contract,"['iliyas', 'was', 'accused', 'of', 'receiving', 'a', 'total', 'of', 'rm450000', 'in', 'bribes', 'related', 'to', 'the', 'same', 'contract']","['iliyas', 'accused', 'receiving', 'total', 'rm450000', 'bribes', 'related', 'contract']","['iliyas', 'accuse', 'receive', 'total', 'rm450000', 'bribe', 'relate', 'contract']",iliyas accuse receive total rm450000 bribe relate contract,NEGATIVE
124,The alleged payments were received between February and April.,the alleged payments were received between february and april,"['the', 'alleged', 'payments', 'were', 'received', 'between', 'february', 'and', 'april']","['alleged', 'payments', 'received', 'february', 'april']","['alleged', 'payment', 'receive', 'february', 'april']",alleged payment receive february april,NEGATIVE
125,"The prosecution requested bail of RM200,000 due to the seriousness of the offences.",the prosecution requested bail of rm200000 due to the seriousness of the offences,"['the', 'prosecution', 'requested', 'bail', 'of', 'rm200000', 'due', 'to', 'the', 'seriousness', 'of', 'the', 'offences']","['prosecution', 'requested', 'bail', 'rm200000', 'due', 'seriousness', 'offences']","['prosecution', 'request', 'bail', 'rm200000', 'due', 'seriousness', 'offence']",prosecution request bail rm200000 due seriousness offence,NEGATIVE
126,The prosecution sought conditions including surrender of travel documents and restrictions on witness contact.,the prosecution sought conditions including surrender of travel documents and restrictions on witness contact,"['the', 'prosecution', 'sought', 'conditions', 'including', 'surrender', 'of', 'travel', 'documents', 'and', 'restrictions', 'on', 'witness', 'contact']","['prosecution', 'sought', 'conditions', 'including', 'surrender', 'travel', 'documents', 'restrictions', 'witness', 'contact']","['prosecution', 'seek', 'condition', 'include', 'surrender', 'travel', 'document', 'restriction', 'witness', 'contact']",prosecution seek condition include surrender travel document restriction witness contact,NEGATIVE
127,The defence argued that the accused had cooperated fully with the investigation.,the defence argued that the accused had cooperated fully with the investigation,"['the', 'defence', 'argued', 'that', 'the', 'accused', 'had', 'cooperated', 'fully', 'with', 'the', 'investigation']","['defence', 'argued', 'accused', 'cooperated', 'fully', 'investigation']","['defence', 'argue', 'accuse', 'cooperate', 'fully', 'investigation']",defence argue accuse cooperate fully investigation,POSITIVE
128,"The court granted bail of RM100,000 with additional conditions.",the court granted bail of rm100000 with additional conditions,"['the', 'court', 'granted', 'bail', 'of', 'rm100000', 'with', 'additional', 'conditions']","['court', 'granted', 'bail', 'rm100000', 'additional', 'conditions']","['court', 'grant', 'bail', 'rm100000', 'additional', 'condition']",court grant bail rm100000 additional condition,NEUTRAL
129,The next case management hearing was scheduled for July 27.,the next case management hearing was scheduled for july 27,"['the', 'next', 'case', 'management', 'hearing', 'was', 'scheduled', 'for', 'july', '27']","['next', 'case', 'management', 'hearing', 'scheduled', 'july', '27']","['next', 'case', 'management', 'hearing', 'schedule', 'july', '27']",next case management hearing schedule july 27,NEUTRAL
130,The MACC dismantled a public procurement cartel after detaining thirteen individuals.,the macc dismantled a public procurement cartel after detaining thirteen individuals,"['the', 'macc', 'dismantled', 'a', 'public', 'procurement', 'cartel', 'after', 'detaining', 'thirteen', 'individuals']","['macc', 'dismantled', 'public', 'procurement', 'cartel', 'detaining', 'thirteen', 'individuals']","['macc', 'dismantle', 'public', 'procurement', 'cartel', 'detain', 'thirteen', 'individual']",macc dismantle public procurement cartel detain thirteen individual,NEGATIVE
131,A current and former director of a government agency were among those detained.,a current and former director of a government agency were among those detained,"['a', 'current', 'and', 'former', 'director', 'of', 'a', 'government', 'agency', 'were', 'among', 'those', 'detained']","['current', 'former', 'director', 'government', 'agency', 'among', 'detained']","['current', 'former', 'director', 'government', 'agency', 'among', 'detain']",current former director government agency among detain,NEGATIVE
132,The suspects were accused of soliciting and receiving bribes totalling approximately RM2.5 million.,the suspects were accused of soliciting and receiving bribes totalling approximately rm25 million,"['the', 'suspects', 'were', 'accused', 'of', 'soliciting', 'and', 'receiving', 'bribes', 'totalling', 'approximately', 'rm25', 'million']","['suspects', 'accused', 'soliciting', 'receiving', 'bribes', 'totalling', 'approximately', 'rm25', 'million']","['suspect', 'accuse', 'solicit', 'receive', 'bribe', 'total', 'approximately', 'rm25', 'million']",suspect accuse solicit receive bribe total approximately rm25 million,NEGATIVE
133,Eight civil servants and five business owners allegedly conspired to manipulate public contracts.,eight civil servants and five business owners allegedly conspired to manipulate public contracts,"['eight', 'civil', 'servants', 'and', 'five', 'business', 'owners', 'allegedly', 'conspired', 'to', 'manipulate', 'public', 'contracts']","['eight', 'civil', 'servants', 'five', 'business', 'owners', 'allegedly', 'conspired', 'manipulate', 'public', 'contracts']","['eight', 'civil', 'servant', 'five', 'business', 'owner', 'allegedly', 'conspire', 'manipulate', 'public', 'contract']",eight civil servant five business owner allegedly conspire manipulate public contract,NEGATIVE
134,The cartel allegedly manipulated direct-award contracts and official quotations between 2024 and 2026.,the cartel allegedly manipulated direct award contracts and official quotations between 2024 and 2026,"['the', 'cartel', 'allegedly', 'manipulated', 'direct', 'award', 'contracts', 'and', 'official', 'quotations', 'between', '2024', 'and', '2026']","['cartel', 'allegedly', 'manipulated', 'direct', 'award', 'contracts', 'official', 'quotations', '2024', '2026']","['cartel', 'allegedly', 'manipulate', 'direct', 'award', 'contract', 'official', 'quotation', '2024', '2026']",cartel allegedly manipulate direct award contract official quotation 2024 2026,NEGATIVE
135,Contractors were allegedly required to pay kickbacks of 10 to 15 percent.,contractors were allegedly required to pay kickbacks of 10 to 15 percent,"['contractors', 'were', 'allegedly', 'required', 'to', 'pay', 'kickbacks', 'of', '10', 'to', '15', 'percent']","['contractors', 'allegedly', 'required', 'pay', 'kickbacks', '10', '15', 'percent']","['contractor', 'allegedly', 'required', 'pay', 'kickback', '10', '15', 'percent']",contractor allegedly required pay kickback 10 15 percent,NEGATIVE
136,Illicit funds were allegedly channelled to senior agency directors to secure project monopolies.,illicit funds were allegedly channelled to senior agency directors to secure project monopolies,"['illicit', 'funds', 'were', 'allegedly', 'channelled', 'to', 'senior', 'agency', 'directors', 'to', 'secure', 'project', 'monopolies']","['illicit', 'funds', 'allegedly', 'channelled', 'senior', 'agency', 'directors', 'secure', 'project', 'monopolies']","['illicit', 'fund', 'allegedly', 'channel', 'senior', 'agency', 'director', 'secure', 'project', 'monopoly']",illicit fund allegedly channel senior agency director secure project monopoly,NEGATIVE
137,Op Drain was conducted across twenty-five locations in several states.,op drain was conducted across twenty five locations in several states,"['op', 'drain', 'was', 'conducted', 'across', 'twenty', 'five', 'locations', 'in', 'several', 'states']","['op', 'drain', 'conducted', 'across', 'twenty', 'five', 'locations', 'several', 'states']","['op', 'drain', 'conduct', 'across', 'twenty', 'five', 'location', 'several', 'state']",op drain conduct across twenty five location several state,NEUTRAL
